x_coord_m,y_coord_m
-2991667.415,291520.9731
-2978400.95,304593.1349
-2960396.46,326961.7013
-2934811.133,346489.4489
-2914199.564,371355.9154
-2906382.761,380786.3597
-2894700.927,377744.1429
-2877954.851,373383.0823
-2871204.686,367795.5735
-2853317.129,352988.9911
-2826784.198,352060.7909
-2780351.567,345560.5257
-2766137.265,337195.8783
-2734866.542,333475.7027
-2722891.894,308247.7952
-2729264.621,300069.6632
-2732968.795,297093.0948
-2734556.298,295042.5699
-2735879.217,294116.5263
-2742295.376,292992.0449
-2411802.838,176855.2191
-3610758.934,41836.3101
-3615283.318,41360.0592
-2686850.165,-77883.2671
-2750350.292,-67564.4964
-2810675.413,-73120.7575
-2844235.785,-77984.5794
-2894857.764,-87007.0694
-2954423.902,-93791.9259
-3014669.571,-96139.5536
-3043244.628,-88995.7893
-3065469.673,-75502.0122
-3115476.023,-157258.4257
-3147226.086,-139002.1392
-3188809.881,-143688.2743
-3251648.548,-159960.1818
-3248826.289,-196946.0052
-3271051.334,-199327.2599
-3286926.366,-242983.5973
-3273599.019,-302094.0897
-3298859.098,-317384.5794
-3378234.256,-315003.3245
-3422956.641,-291312.45
-3436971.874,-310240.815
-3400889.476,-354726.7371
-3375853.002,-395965.9865
-3398078.046,-495978.6865
-3426653.103,-542810.0302
-3391728.034,-590435.1255
-3409190.568,-617422.6795
-3408365.36,-657539.5346
-3403356.494,-709649.9993
-3433519.055,-746956.3239
-3467650.373,-798550.1771
-3472412.882,-851731.5335
-3462887.863,-903325.3867
-3418437.774,-927931.6859
-3413675.265,-956506.743
-3432725.303,-1000956.832
-3385100.208,-1004131.838
-3370018.928,-984288.0486
-3350809.597,-1005580.804
-3349861.761,-1018242.524
-3339438.341,-1022187.021
-3340385.945,-1027699.022
-3351757.202,-1048069.516
-3361233.017,-1061300.585
-3357442.83,-1071371.083
-3333752.712,-1058970.787
-3326171.875,-1045727.341
-3310814.564,-1029060.431
-3306272.176,-1011127.739
-3291498.696,-994427.5305
-3281634.454,-983276.813
-3266472.779,-983276.813
-3252258.708,-977672.1569
-3238044.638,-969645.6258
-3224778.172,-970449.3316
-3214354.52,-977672.1569
-3209616.265,-1001611.437
-3207721.287,-1016663.222
-3199078.353,-1025535.29
-3191612.239,-1033199.34
-3187821.589,-1028485.608
-3187267.005,-1025972.904
-3181188.356,-998431.7791
-3166026.68,-996044.4908
-3158445.843,-1001611.437
-3157498.238,-1010336.063
-3145179.377,-1011127.739
-3133808.121,-1007959.533
-3118646.445,-1010336.063
-3107275.189,-1005580.804
-3094956.328,-1015082.878
-3083585.071,-1028485.608
-3082714.541,-1029846.603
-3075056.629,-1041819.05
-3065580.582,-1039470.975
-3056369.579,-1030822.691
-3051366.512,-1026125.272
-3013469.43,-1032412.154
-3008724.3,-1033199.34
-2997353.044,-1048849.74
-2986929.392,-1050409.493
-2979348.554,-1058970.787
-2961344.065,-1068276.908
-2946182.39,-1056638.791
-2938601.552,-1056638.791
-2932915.924,-1054304.597
-2907069.89,-1036354.287
-2885535.689,-1021398.585
-2823428.355,-1048764.931
-2795382.466,-1048764.931
-2766013.657,-1030773.228
-2718123.978,-1033154.483
-2696147.074,-1046337.337
-2681082.237,-1041621.167
-2671292.634,-1020189.874
-2655946.77,-1002991.923
-2621030.52,-993563.9179
-2595630.469,-980467.0166
-2568641.659,-968639.9923
-2543242.864,-963401.3574
-2525780.329,-950304.4563
-2516652.186,-958241.9721
-2509111.546,-941970.0647
-2511095.925,-924110.654
-2497602.148,-913791.8833
-2473789.6,-897519.9757
-2472598.973,-862198.0301
-2481766.804,-836043.9152
-2476210.543,-818184.5045
-2455969.877,-778496.9251
-2447238.61,-767781.2786
-2431760.454,-729681.2025
-2412710.416,-682849.8589
-2396835.671,-649260.0918
-2385325.986,-617365.3529
-2385056.25,-587832.2768
-2393581.003,-551325.2208
-2429299.824,-521956.4121
-2429299.824,-491396.976
-2436443.588,-479887.578
-2436924.725,-449209.6789
-2443878.395,-418451.205
-2453403.414,-386171.9738
-2502086.845,-342251.0526
-2501557.677,-308913.486
-2519394.449,-282627.7158
-2559236.959,-230596.6627
-2567384.726,-218745.3643
-2586832.004,-162833.0106
-2599701.407,-116635.3155
-2624143.79,-97727.0567
-2686850.165,-77883.2671
