Diam_km,x_coord,y_coord,Shape_Le_1,Shape_Area
1.104888569,-108.5723905,-42.13526232,4098.451557,1292924.777
0.872592329,-108.659399,-42.00709473,3232.792079,804789.2155
2.799903173,-105.5079701,-41.45455524,10319.00278,8215042.361
1.392881962,-107.1452631,-41.44014155,5132.754483,2032618.636
1.506315798,-106.8846977,-41.52986051,5555.422231,2380458.887
1.158262657,-106.8758754,-41.62200906,4275.474765,1409491.092
1.959196835,-106.3194634,-41.8196648,7245.487839,4045201.99
1.574472519,-107.0428273,-41.49178362,5804.71764,2599221.826
1.45586236,-106.5750831,-41.30296617,5357.984295,2215910.151
1.392612665,-106.1969952,-41.55252345,5137.168035,2035361.23
1.134856361,-106.3263308,-41.75240694,4194.239776,1355845.655
1.813447578,-105.5746905,-41.51126462,6686.98435,3449163.99
2.102931013,-106.381808,-42.20989583,7806.19277,4689200.831
1.283937838,-106.0523804,-42.22551434,4766.766151,1748413.61
0.821346239,-106.4259282,-41.92177252,3040.45252,712082.5203
1.347106462,-106.7459685,-42.69332413,5024.215189,1939120.001
1.236165419,-106.3679998,-42.83912988,4617.113113,1636726.955
1.192670061,-106.4568135,-42.08148754,4421.776959,1505249.62
1.272545399,-107.095242,-41.92902681,4711.024072,1709518.229
0.924865189,-106.9815127,-42.44801409,3441.105099,910436.4392
1.063621412,-107.0871683,-42.45598009,3957.677417,1204265.233
1.173386736,-105.3206239,-41.2308556,4315.507277,1437852.121
0.896075216,-104.8855156,-41.25292042,3296.278608,838817.4041
1.006704918,-104.817453,-41.24159378,3702.849483,1058540.794
1.262251547,-104.6517108,-41.83525572,4668.741613,1679506.355
3.300434469,-104.4939157,-41.94801579,12220.58449,11502672.61
0.820570938,-105.2945286,-41.46365064,3024.459455,705694.7974
0.963215479,-105.2291097,-41.42793629,3549.033536,971834.9574
1.003339481,-104.9177444,-41.83503226,3711.08502,1061167.919
0.903345098,-105.107539,-41.77871197,3339.445537,859436.7231
0.866009798,-104.8364003,-42.0740014,3210.465926,793528.0311
0.834569561,-104.8936092,-42.06541731,3093.65568,736856.6609
0.857781561,-104.2460128,-42.40312053,3190.111568,782591.5998
2.326452375,-104.6398424,-42.86663708,8691.744819,5799690.804
1.484714725,-104.6398926,-42.63996667,5534.529035,2353499.489
0.878618767,-104.7441068,-42.55250611,3272.385666,823037.2446
0.863990557,-105.4595578,-42.3744439,3212.304987,793599.4402
0.839832186,-104.6768291,-42.50061931,3126.335241,751350.9784
1.02634346,-105.0126205,-42.18861015,3809.058159,1116575.024
1.835901102,-102.4376201,-42.58771755,6840.117407,3595524.871
0.927582561,-102.7124196,-42.45787094,3451.548054,915938.4079
1.095822424,-102.632726,-42.75719007,4089.600666,1284482.881
1.02004022,-103.0782963,-42.69110509,3804.294133,1111782.73
0.856219975,-103.2100673,-42.38134422,3183.628069,779474.2853
1.423819609,-103.4678632,-42.01348659,5275.30977,2142954.551
1.024403938,-103.5721587,-41.71027408,3784.516241,1104043.248
1.554258364,-103.5874523,-41.56437749,5734.096695,2535752.759
0.815225754,-102.5099938,-41.63093292,3009.481671,698335.4997
1.309489017,-102.3126192,-41.6907644,4836.830796,1803497.599
0.973233782,-102.7314486,-41.94783274,3603.605486,1000206.285
0.835217733,-103.6565499,-42.15169914,3098.630987,739006.8515
1.071930214,-103.3630208,-42.68837694,3997.712871,1227719.843
0.828138451,-103.1067902,-41.80784427,3062.271694,722619.7035
1.082390587,-109.0976137,-44.22630793,4100.688971,1284048.474
1.773897858,-109.285235,-44.30565761,6726.150139,3453479.485
0.972045755,-108.9837812,-44.08449079,3677.140206,1033101.75
0.901839046,-108.84637,-44.14068152,3413.573881,890103.8388
0.846255821,-109.6018446,-44.44425173,3213.51575,787826.9612
1.330258921,-110.2827467,-44.36016655,5046.911469,1943907.862
1.271729702,-110.3574375,-44.02396063,4807.755746,1766507.183
1.012827513,-110.2499692,-43.83529892,3821.447324,1116912.556
1.279210867,-110.4128132,-43.8784788,4828.693392,1782982.058
0.905795612,-110.4141294,-42.97052645,3387.60849,880661.7589
1.192948204,-110.1760595,-43.24885019,4474.052123,1534499.523
1.657890928,-109.896635,-43.30309061,6221.200975,2966351.461
0.996455553,-109.8589931,-42.97086641,3726.682668,1065778.583
0.913739019,-109.8090945,-43.05778443,3420.305715,897449.7345
0.962993738,-109.3301233,-43.10954051,3606.551723,997653.2605
1.01802931,-109.4167409,-43.16121309,3814.653359,1115887.042
1.238430105,-109.2667565,-43.36408752,4650.065039,1656875.561
0.816800592,-109.1352555,-43.31788343,3065.487459,720192.297
0.833825867,-108.9053615,-42.88183013,3115.687233,745202.1954
1.281280394,-109.4634397,-43.75285358,4830.199935,1784996.673
1.353842152,-108.5239129,-43.29157573,5079.670669,1977718.666
0.829076918,-108.3227912,-43.07717538,3104.003249,739082.3337
1.107584066,-108.0366096,-42.87569679,4138.363744,1314721.089
0.894004026,-107.9876362,-42.83743488,3339.074254,856032.1718
2.086561609,-107.6694697,-44.3516516,7915.555365,4781923.721
2.15768787,-107.287277,-44.44890394,8193.868347,5121997.423
0.844087559,-108.1062055,-44.3882241,3203.367213,783044.3889
