x_coord_m,y_coord_m,area_sqm,Radius_m,Diameter_m
-3274805.61,-1046591.783,811186.7936,508.142476,1016.284952
-3289774.546,-1049285.716,1437886.022,676.530366,1353.060732
-3297614.002,-1041941.131,1436980.443,676.3172934,1352.634587
-3295725.602,-1016083.901,1799641,756.864269,1513.728538
-3306678.724,-1352953.938,772578.0446,495.9024394,991.8048789
-3330838.931,-1361966.392,5661433.924,1342.419602,2684.839204
-3322954.319,-1360484.831,2005371.334,798.9552686,1597.910537
-3328625.894,-1358198.071,944483.787,548.3051402,1096.61028
-3342651.415,-1354355.366,918492.3951,540.7080633,1081.416127
-3335940.671,-1362188.23,978649.234,558.1341472,1116.268294
-3341903.494,-1357333.019,2338461.035,862.7602597,1725.520519
-3347754.516,-1358054.434,1165389.869,609.060848,1218.121696
-3313193.103,-1370135.825,897982.5824,534.6370111,1069.274022
-3299223.594,-1373271.073,6035023.942,1386.004251,2772.008502
-3322118.794,-1389428.567,10737565.91,1848.74914,3697.498279
-3326552.153,-1395827.577,23244734.17,2720.115565,5440.231131
-3315245.292,-1396720.703,2500165.635,892.091609,1784.183218
-3313529.829,-1395725.858,977260.7924,557.7380851,1115.47617
-3306567.514,-1380203.213,1050008.613,578.1246597,1156.249319
-3326170.051,-1377564.749,1773972.441,751.4472475,1502.894495
-3329103.132,-1378270.985,1847766.6,766.9174507,1533.834901
-3338080.142,-1370411.698,6998818.638,1492.579366,2985.158732
-3338418.859,-1373828.443,4372367.717,1179.732118,2359.464236
-3332417.346,-1370770.951,2639627.693,916.6349276,1833.269855
-3329439.568,-1366269.134,2023260.752,802.5109967,1605.021993
-3311219.902,-1380780.69,828024.694,513.3891761,1026.778352
-3328110.014,-1373663.297,776731.1864,497.2335624,994.4671247
-3334402.264,-1374196.314,749105.2216,488.3109643,976.6219286
-3337952.484,-1375526.021,972627.5318,556.414377,1112.828754
-3341413.516,-1390726.61,1691413.506,733.7531197,1467.506239
-3334739.022,-1397213.488,877232.3129,528.423805,1056.84761
-3341582.861,-1383599.27,876367.4654,528.163259,1056.326518
-3345002.519,-1389263.413,914074.754,539.4061836,1078.812367
-3348730.073,-1394993.842,897927.3602,534.6205718,1069.241144
-3343092.356,-1392515.154,1092809.031,589.7897238,1179.579448
-3288054.071,-1358425.712,2522783.756,896.1177435,1792.235487
